payment_id,purchase_id,amount_paid
212,13098,0.00
213,28,0.00
214,29,0.00
215,30,0.00
216,31,0.00
217,385,0.00
218,406,0.00
219,2086,0.00
220,2474,0.00
221,2595,0.00
222,2596,0.00
223,3611,0.00
224,3998,0.00
225,4855,0.00
226,5699,0.00
227,6875,0.00
228,7261,0.00
229,8448,0.00
230,10091,0.00
231,10092,0.00
232,10541,0.00
233,11619,0.00
234,13087,0.00
235,13090,0.00
236,13091,0.00
237,32,0.00
238,309,0.00
239,348,0.00
240,749,0.00
241,1886,0.00
242,2318,0.00
243,2616,0.00
244,3481,0.00
245,3879,0.00
246,6590,0.00
247,6706,0.00
248,7137,0.00
249,7452,0.00
250,7814,0.00
251,8083,0.00
252,8900,0.00
253,11526,0.00
254,11642,0.00
255,11741,0.00
256,12001,0.00
257,12402,0.00
258,34,0.00
259,384,0.00
260,2873,0.00
261,6644,0.00
262,6849,0.00
263,35,0.00
264,37,0.00
265,1936,0.00
266,1937,0.00
267,2133,0.00
268,38,0.00
269,39,0.00
270,1454,0.00
271,4196,0.00
272,4422,0.00
273,5151,0.00
274,6338,0.00
275,9011,0.00
276,9017,0.00
277,10357,0.00
278,40,0.00
279,41,0.00
280,11005,0.00
281,42,0.00
282,3549,0.00
283,3553,0.00
284,45,0.00
285,4557,0.00
286,46,0.00
287,47,0.00
288,981,0.00
289,5609,0.00
290,52,0.00
291,99,0.00
292,104,0.00
293,109,0.00
294,114,0.00
295,120,0.00
296,125,0.00
297,131,0.00
298,136,0.00
299,141,0.00
300,146,0.00
301,153,0.00
302,164,0.00
303,192,0.00
304,200,0.00
305,208,0.00
306,256,0.00
307,302,0.00
308,307,0.00
309,319,0.00
310,324,0.00
311,334,0.00
312,359,0.00
313,424,0.00
314,430,0.00
315,435,0.00
316,440,0.00
317,446,0.00
318,451,0.00
319,457,0.00
320,463,0.00
321,469,0.00
322,474,0.00
323,503,0.00
324,516,0.00
325,524,0.00
326,529,0.00
327,534,0.00
328,539,0.00
329,544,0.00
330,549,0.00
331,554,0.00
332,559,0.00
333,564,0.00
334,569,0.00
335,574,0.00
336,579,0.00
337,584,0.00
338,589,0.00
339,594,0.00
340,599,0.00
341,604,0.00
342,609,0.00
343,614,0.00
344,619,0.00
345,624,0.00
346,629,0.00
347,634,0.00
348,639,0.00
349,644,0.00
350,649,0.00
351,654,0.00
352,661,0.00
353,668,0.00
354,673,0.00
355,678,0.00
356,685,0.00
357,782,0.00
358,796,0.00
359,807,0.00
360,814,0.00
361,829,0.00
362,834,0.00
363,839,0.00
364,867,0.00
365,873,0.00
366,878,0.00
367,919,0.00
368,933,0.00
369,951,0.00
370,956,0.00
371,961,0.00
372,968,0.00
373,973,0.00
374,980,0.00
375,986,0.00
376,991,0.00
377,996,0.00
378,1001,0.00
379,1008,0.00
380,1018,0.00
381,1023,0.00
382,1028,0.00
383,1033,0.00
384,1038,0.00
385,1043,0.00
386,1048,0.00
387,1063,0.00
388,1080,0.00
389,1087,0.00
390,1092,0.00
391,1105,0.00
392,1119,0.00
393,1126,0.00
394,1138,0.00
395,1152,0.00
396,1157,0.00
397,1162,0.00
398,1170,0.00
399,1175,0.00
400,1180,0.00
401,1185,0.00
402,1190,0.00
403,1195,0.00
404,1200,0.00
405,1205,0.00
406,1210,0.00
407,1216,0.00
408,1224,0.00
409,1229,0.00
410,1235,0.00
411,1247,0.00
412,1260,0.00
413,1268,0.00
414,1280,0.00
415,1357,0.00
416,1377,0.00
417,1400,0.00
418,1415,0.00
419,1421,0.00
420,1426,0.00
421,1431,0.00
422,1436,0.00
423,1441,0.00
424,1446,0.00
425,1451,0.00
426,1486,0.00
427,1492,0.00
428,1499,0.00
429,1517,0.00
430,1523,0.00
431,1528,0.00
432,1534,0.00
433,1539,0.00
434,1544,0.00
435,1549,0.00
436,1554,0.00
437,1559,0.00
438,1564,0.00
439,1575,0.00
440,1580,0.00
441,1587,0.00
442,1593,0.00
443,1598,0.00
444,1612,0.00
445,1617,0.00
446,1623,0.00
447,1643,0.00
448,1649,0.00
449,1657,0.00
450,1692,0.00
451,1697,0.00
452,1702,0.00
453,1707,0.00
454,1712,0.00
455,1717,0.00
456,1722,0.00
457,1727,0.00
458,1732,0.00
459,1737,0.00
460,1742,0.00
461,1747,0.00
462,1752,0.00
463,1757,0.00
464,1762,0.00
465,1767,0.00
466,1772,0.00
467,1777,0.00
468,1785,0.00
469,1790,0.00
470,1796,0.00
471,1801,0.00
472,1809,0.00
473,1814,0.00
474,1819,0.00
475,1824,0.00
476,1829,0.00
477,1844,0.00
478,1852,0.00
479,1867,0.00
480,1872,0.00
481,1901,0.00
482,1906,0.00
483,1912,0.00
484,1945,0.00
485,1950,0.00
486,1956,0.00
487,1967,0.00
488,1972,0.00
489,1977,0.00
490,2036,0.00
491,2044,0.00
492,2066,0.00
493,2082,0.00
494,2108,0.00
495,2129,0.00
496,2139,0.00
497,2145,0.00
498,2150,0.00
499,2155,0.00
500,2163,0.00
501,2204,0.00
502,2222,0.00
503,2264,0.00
504,2289,0.00
505,2299,0.00
506,2309,0.00
507,2317,0.00
508,2324,0.00
509,2329,0.00
510,2334,0.00
511,2339,0.00
512,2345,0.00
513,2369,0.00
514,2410,0.00
515,2436,0.00
516,2462,0.00
517,2470,0.00
518,2481,0.00
519,2539,0.00
520,2546,0.00
521,2555,0.00
522,2562,0.00
523,2586,0.00
524,2625,0.00
525,2652,0.00
526,2671,0.00
527,2696,0.00
528,2701,0.00
529,2717,0.00
530,2723,0.00
531,2728,0.00
532,2736,0.00
533,2748,0.00
534,2754,0.00
535,2760,0.00
536,2768,0.00
537,2773,0.00
538,2798,0.00
539,2803,0.00
540,2808,0.00
541,2813,0.00
542,2820,0.00
543,2831,0.00
544,2836,0.00
545,2841,0.00
546,2846,0.00
547,2855,0.00
548,2882,0.00
549,2887,0.00
550,2892,0.00
551,2897,0.00
552,2911,0.00
553,2931,0.00
554,2939,0.00
555,2950,0.00
556,2959,0.00
557,2968,0.00
558,2973,0.00
559,2978,0.00
560,2983,0.00
561,2991,0.00
562,3004,0.00
563,3015,0.00
564,3024,0.00
565,3029,0.00
566,3034,0.00
567,3041,0.00
568,3056,0.00
569,3064,0.00
570,3069,0.00
571,3074,0.00
572,3079,0.00
573,3084,0.00
574,3089,0.00
575,3094,0.00
576,3099,0.00
577,3104,0.00
578,3109,0.00
579,3114,0.00
580,3119,0.00
581,3124,0.00
582,3129,0.00
583,3134,0.00
584,3139,0.00
585,3144,0.00
586,3149,0.00
587,3154,0.00
588,3160,0.00
589,3167,0.00
590,3172,0.00
591,3177,0.00
592,3187,0.00
593,3203,0.00
594,3209,0.00
595,3229,0.00
596,3236,0.00
597,3241,0.00
598,3248,0.00
599,3255,0.00
600,3261,0.00
601,3266,0.00
602,3276,0.00
603,3283,0.00
604,3288,0.00
605,3293,0.00
606,3298,0.00
607,3304,0.00
608,3309,0.00
609,3314,0.00
610,3319,0.00
611,3324,0.00
612,3329,0.00
613,3334,0.00
614,3346,0.00
615,3351,0.00
616,3356,0.00
617,3361,0.00
618,3366,0.00
619,3376,0.00
620,3388,0.00
621,3413,0.00
622,3423,0.00
623,3428,0.00
624,3433,0.00
625,3438,0.00
626,3453,0.00
627,3461,0.00
628,3466,0.00
629,3502,0.00
630,3509,0.00
631,3514,0.00
632,3521,0.00
633,3536,0.00
634,3542,0.00
635,3547,0.00
636,3561,0.00
637,3571,0.00
638,3594,0.00
639,3601,0.00
640,3606,0.00
641,3622,0.00
642,3632,0.00
643,3679,0.00
644,3701,0.00
645,3711,0.00
646,3717,0.00
647,3730,0.00
648,3736,0.00
649,3792,0.00
650,3798,0.00
651,3807,0.00
652,3813,0.00
653,3818,0.00
654,3823,0.00
655,3831,0.00
656,3846,0.00
657,3851,0.00
658,3863,0.00
659,3871,0.00
660,3876,0.00
661,3887,0.00
662,3892,0.00
663,3897,0.00
664,3902,0.00
665,3907,0.00
666,3912,0.00
667,3917,0.00
668,3923,0.00
669,3929,0.00
670,3934,0.00
671,3939,0.00
672,3950,0.00
673,3955,0.00
674,3960,0.00
675,3965,0.00
676,3972,0.00
677,3989,0.00
678,4028,0.00
679,4039,0.00
680,4045,0.00
681,4050,0.00
682,4057,0.00
683,4073,0.00
684,4083,0.00
685,4125,0.00
686,4133,0.00
687,4138,0.00
688,4146,0.00
689,4155,0.00
690,4165,0.00
691,4174,0.00
692,4208,0.00
693,4225,0.00
694,4238,0.00
695,4243,0.00
696,4248,0.00
697,4253,0.00
698,4258,0.00
699,4263,0.00
700,4268,0.00
701,4296,0.00
702,4302,0.00
703,4394,0.00
704,4406,0.00
705,4411,0.00
706,4416,0.00
707,4421,0.00
708,4444,0.00
709,4453,0.00
710,4462,0.00
711,4467,0.00
712,4472,0.00
713,4477,0.00
714,4482,0.00
715,4487,0.00
716,4500,0.00
717,4505,0.00
718,4510,0.00
719,4520,0.00
720,4527,0.00
721,4553,0.00
722,4565,0.00
723,4576,0.00
724,4581,0.00
725,4591,0.00
726,4606,0.00
727,4611,0.00
728,4616,0.00
729,4621,0.00
730,4650,0.00
731,4656,0.00
732,4665,0.00
733,4672,0.00
734,4677,0.00
735,4682,0.00
736,4691,0.00
737,4730,0.00
738,4736,0.00
739,4741,0.00
740,4746,0.00
741,4751,0.00
742,4770,0.00
743,4777,0.00
744,4821,0.00
745,4826,0.00
746,4831,0.00
747,4842,0.00
748,4847,0.00
749,4854,0.00
750,4881,0.00
751,4887,0.00
752,4893,0.00
753,4901,0.00
754,4912,0.00
755,4927,0.00
756,4937,0.00
757,4989,0.00
758,4999,0.00
759,5010,0.00
760,5022,0.00
761,5027,0.00
762,5032,0.00
763,5054,0.00
764,5077,0.00
765,5104,0.00
766,5109,0.00
767,5115,0.00
768,5146,0.00
769,5163,0.00
770,5168,0.00
771,5173,0.00
772,5178,0.00
773,5183,0.00
774,5189,0.00
775,5194,0.00
776,5208,0.00
777,5213,0.00
778,5218,0.00
779,5229,0.00
780,5237,0.00
781,5242,0.00
782,5248,0.00
783,5253,0.00
784,5275,0.00
785,5280,0.00
786,5286,0.00
787,5291,0.00
788,5314,0.00
789,5319,0.00
790,5325,0.00
791,5330,0.00
792,5335,0.00
793,5340,0.00
794,5346,0.00
795,5351,0.00
796,5356,0.00
797,5361,0.00
798,5366,0.00
799,5372,0.00
800,5383,0.00
801,5389,0.00
802,5394,0.00
803,5402,0.00
804,5410,0.00
805,5415,0.00
806,5423,0.00
807,5428,0.00
808,5433,0.00
809,5438,0.00
810,5443,0.00
811,5449,0.00
812,5454,0.00
813,5459,0.00
814,5464,0.00
815,5469,0.00
816,5474,0.00
817,5479,0.00
818,5484,0.00
819,5489,0.00
820,5494,0.00
821,5499,0.00
822,5504,0.00
823,5509,0.00
824,5514,0.00
825,5519,0.00
826,5524,0.00
827,5529,0.00
828,5534,0.00
829,5540,0.00
830,5545,0.00
831,5550,0.00
832,5555,0.00
833,5560,0.00
834,5565,0.00
835,5570,0.00
836,5575,0.00
837,5580,0.00
838,5586,0.00
839,5591,0.00
840,5596,0.00
841,5601,0.00
842,5616,0.00
843,5648,0.00
844,5654,0.00
845,5659,0.00
846,5671,0.00
847,5694,0.00
848,5758,0.00
849,5763,0.00
850,5777,0.00
851,5795,0.00
852,5802,0.00
853,5807,0.00
854,5817,0.00
855,5825,0.00
856,5831,0.00
857,5836,0.00
858,5842,0.00
859,5847,0.00
860,5852,0.00
861,5857,0.00
862,5882,0.00
863,5913,0.00
864,5920,0.00
865,5933,0.00
866,5938,0.00
867,5943,0.00
868,5948,0.00
869,5965,0.00
870,5970,0.00
871,5978,0.00
872,5998,0.00
873,6003,0.00
874,6021,0.00
875,6027,0.00
876,6041,0.00
877,6086,0.00
878,6091,0.00
879,6096,0.00
880,6104,0.00
881,6115,0.00
882,6120,0.00
883,6127,0.00
884,6140,0.00
885,6150,0.00
886,6155,0.00
887,6164,0.00
888,6169,0.00
889,6189,0.00
890,6196,0.00
891,6201,0.00
892,6206,0.00
893,6211,0.00
894,6216,0.00
895,6221,0.00
896,6226,0.00
897,6232,0.00
898,6237,0.00
899,6242,0.00
900,6247,0.00
901,6252,0.00
902,6257,0.00
903,6262,0.00
904,6292,0.00
905,6298,0.00
906,6306,0.00
907,6322,0.00
908,6344,0.00
909,6349,0.00
910,6354,0.00
911,6359,0.00
912,6367,0.00
913,6380,0.00
914,6394,0.00
915,6400,0.00
916,6405,0.00
917,6411,0.00
918,6422,0.00
919,6427,0.00
920,6437,0.00
921,6445,0.00
922,6450,0.00
923,6455,0.00
924,6479,0.00
925,6487,0.00
926,6492,0.00
927,6497,0.00
928,6504,0.00
929,6516,0.00
930,6521,0.00
931,6526,0.00
932,6536,0.00
933,6583,0.00
934,6612,0.00
935,6617,0.00
936,6622,0.00
937,6629,0.00
938,6651,0.00
939,6659,0.00
940,6682,0.00
941,6688,0.00
942,6701,0.00
943,6725,0.00
944,6730,0.00
945,6735,0.00
946,6749,0.00
947,6783,0.00
948,6788,0.00
949,6809,0.00
950,6818,0.00
951,6829,0.00
952,6837,0.00
953,6843,0.00
954,6865,0.00
955,6895,0.00
956,6900,0.00
957,6905,0.00
958,6911,0.00
959,6924,0.00
960,6937,0.00
961,6951,0.00
962,6958,0.00
963,6963,0.00
964,6969,0.00
965,6974,0.00
966,7042,0.00
967,7047,0.00
968,7066,0.00
969,7071,0.00
970,7077,0.00
971,7082,0.00
972,7087,0.00
973,7092,0.00
974,7097,0.00
975,7105,0.00
976,7148,0.00
977,7154,0.00
978,7159,0.00
979,7164,0.00
980,7169,0.00
981,7179,0.00
982,7192,0.00
983,7197,0.00
984,7202,0.00
985,7207,0.00
986,7212,0.00
987,7217,0.00
988,7222,0.00
989,7242,0.00
990,7257,0.00
991,7269,0.00
992,7286,0.00
993,7293,0.00
994,7301,0.00
995,7335,0.00
996,7340,0.00
997,7364,0.00
998,7383,0.00
999,7388,0.00
1000,7395,0.00
1001,7400,0.00
1002,7405,0.00
1003,7411,0.00
1004,7416,0.00
1005,7423,0.00
1006,7428,0.00
1007,7437,0.00
1008,7444,0.00
1009,7449,0.00
1010,7480,0.00
1011,7508,0.00
1012,7521,0.00
1013,7527,0.00
1014,7550,0.00
1015,7559,0.00
1016,7564,0.00
1017,7569,0.00
1018,7575,0.00
1019,7580,0.00
1020,7585,0.00
1021,7590,0.00
1022,7597,0.00
1023,7630,0.00
1024,7642,0.00
1025,7658,0.00
1026,7664,0.00
1027,7717,0.00
1028,7722,0.00
1029,7736,0.00
1030,7772,0.00
1031,7777,0.00
1032,7783,0.00
1033,7839,0.00
1034,7855,0.00
1035,7860,0.00
1036,7878,0.00
1037,7890,0.00
1038,7909,0.00
1039,7914,0.00
1040,7919,0.00
1041,7925,0.00
1042,7940,0.00
1043,7950,0.00
1044,7966,0.00
1045,7986,0.00
1046,7991,0.00
1047,7996,0.00
1048,8016,0.00
1049,8040,0.00
1050,8045,0.00
1051,8063,0.00
1052,8108,0.00
1053,8129,0.00
1054,8166,0.00
1055,8171,0.00
1056,8176,0.00
1057,8181,0.00
1058,8187,0.00
1059,8192,0.00
1060,8197,0.00
1061,8202,0.00
1062,8212,0.00
1063,8217,0.00
1064,8222,0.00
1065,8227,0.00
1066,8232,0.00
1067,8237,0.00
1068,8242,0.00
1069,8247,0.00
1070,8252,0.00
1071,8269,0.00
1072,8276,0.00
1073,8282,0.00
1074,8297,0.00
1075,8302,0.00
1076,8307,0.00
1077,8328,0.00
1078,8348,0.00
1079,8353,0.00
1080,8393,0.00
1081,8407,0.00
1082,8412,0.00
1083,8417,0.00
1084,8422,0.00
1085,8427,0.00
1086,8432,0.00
1087,8467,0.00
1088,8476,0.00
1089,8505,0.00
1090,8510,0.00
1091,8526,0.00
1092,8532,0.00
1093,8538,0.00
1094,8543,0.00
1095,8554,0.00
1096,8560,0.00
1097,8595,0.00
1098,8611,0.00
1099,8617,0.00
1100,8624,0.00
1101,8629,0.00
1102,8635,0.00
1103,8644,0.00
1104,8650,0.00
1105,8656,0.00
1106,8661,0.00
1107,8667,0.00
1108,8672,0.00
1109,8677,0.00
1110,8682,0.00
1111,8707,0.00
1112,8728,0.00
1113,8737,0.00
1114,8751,0.00
1115,8756,0.00
1116,8764,0.00
1117,8769,0.00
1118,8779,0.00
1119,8784,0.00
1120,8789,0.00
1121,8794,0.00
1122,8799,0.00
1123,8804,0.00
1124,8809,0.00
1125,8814,0.00
1126,8819,0.00
1127,8824,0.00
1128,8829,0.00
1129,8834,0.00
1130,8839,0.00
1131,8844,0.00
1132,8849,0.00
1133,8906,0.00
1134,8914,0.00
1135,8919,0.00
1136,8942,0.00
1137,8949,0.00
1138,8956,0.00
1139,8961,0.00
1140,8966,0.00
1141,8971,0.00
1142,8977,0.00
1143,8982,0.00
1144,9008,0.00
1145,9016,0.00
1146,9025,0.00
1147,9033,0.00
1148,9046,0.00
1149,9051,0.00
1150,9060,0.00
1151,9077,0.00
1152,9082,0.00
1153,9087,0.00
1154,9092,0.00
1155,9129,0.00
1156,9171,0.00
1157,9185,0.00
1158,9195,0.00
1159,9200,0.00
1160,9233,0.00
1161,9238,0.00
1162,9243,0.00
1163,9248,0.00
1164,9253,0.00
1165,9258,0.00
1166,9263,0.00
1167,9268,0.00
1168,9273,0.00
1169,9282,0.00
1170,9288,0.00
1171,9295,0.00
1172,9305,0.00
1173,9310,0.00
1174,9354,0.00
1175,9360,0.00
1176,9369,0.00
1177,9389,0.00
1178,9444,0.00
1179,9456,0.00
1180,9464,0.00
1181,9471,0.00
1182,9476,0.00
1183,9484,0.00
1184,9525,0.00
1185,9530,0.00
1186,9536,0.00
1187,9541,0.00
1188,9548,0.00
1189,9554,0.00
1190,9559,0.00
1191,9564,0.00
1192,9569,0.00
1193,9574,0.00
1194,9579,0.00
1195,9594,0.00
1196,9601,0.00
1197,9621,0.00
1198,9626,0.00
1199,9631,0.00
1200,9636,0.00
1201,9649,0.00
1202,9669,0.00
1203,9713,0.00
1204,9724,0.00
1205,9730,0.00
1206,9779,0.00
1207,9788,0.00
1208,9793,0.00
1209,9810,0.00
1210,9815,0.00
1211,9827,0.00
1212,9832,0.00
1213,9837,0.00
1214,9849,0.00
1215,9854,0.00
1216,9859,0.00
1217,9864,0.00
1218,9869,0.00
1219,9874,0.00
1220,9880,0.00
1221,9885,0.00
1222,9890,0.00
1223,9895,0.00
1224,9900,0.00
1225,9906,0.00
1226,9911,0.00
1227,9917,0.00
1228,9922,0.00
1229,9927,0.00
1230,9932,0.00
1231,9937,0.00
1232,9950,0.00
1233,9955,0.00
1234,9964,0.00
1235,9984,0.00
1236,9989,0.00
1237,9999,0.00
1238,10004,0.00
1239,10009,0.00
1240,10014,0.00
1241,10019,0.00
1242,10024,0.00
1243,10029,0.00
1244,10034,0.00
1245,10040,0.00
1246,10045,0.00
1247,10050,0.00
1248,10061,0.00
1249,10079,0.00
1250,10100,0.00
1251,10105,0.00
1252,10125,0.00
1253,10130,0.00
1254,10135,0.00
1255,10140,0.00
1256,10145,0.00
1257,10150,0.00
1258,10155,0.00
1259,10160,0.00
1260,10165,0.00
1261,10170,0.00
1262,10175,0.00
1263,10180,0.00
1264,10185,0.00
1265,10191,0.00
1266,10201,0.00
1267,10209,0.00
1268,10214,0.00
1269,10223,0.00
1270,10229,0.00
1271,10234,0.00
1272,10253,0.00
1273,10266,0.00
1274,10272,0.00
1275,10277,0.00
1276,10282,0.00
1277,10287,0.00
1278,10292,0.00
1279,10297,0.00
1280,10302,0.00
1281,10307,0.00
1282,10313,0.00
1283,10321,0.00
1284,10351,0.00
1285,10370,0.00
1286,10377,0.00
1287,10382,0.00
1288,10387,0.00
1289,10394,0.00
1290,10417,0.00
1291,10423,0.00
1292,10439,0.00
1293,10465,0.00
1294,10472,0.00
1295,10488,0.00
1296,10495,0.00
1297,10533,0.00
1298,10570,0.00
1299,10575,0.00
1300,10582,0.00
1301,10587,0.00
1302,10594,0.00
1303,10603,0.00
1304,10609,0.00
1305,10614,0.00
1306,10619,0.00
1307,10633,0.00
1308,10638,0.00
1309,10643,0.00
1310,10650,0.00
1311,10655,0.00
1312,10669,0.00
1313,10678,0.00
1314,10684,0.00
1315,10689,0.00
1316,10695,0.00
1317,10704,0.00
1318,10710,0.00
1319,10715,0.00
1320,10729,0.00
1321,10737,0.00
1322,10742,0.00
1323,10747,0.00
1324,10752,0.00
1325,10757,0.00
1326,10762,0.00
1327,10767,0.00
1328,10772,0.00
1329,10777,0.00
1330,10782,0.00
1331,10791,0.00
1332,10807,0.00
1333,10812,0.00
1334,10817,0.00
1335,10822,0.00
1336,10827,0.00
1337,10834,0.00
1338,10850,0.00
1339,10855,0.00
1340,10860,0.00
1341,10865,0.00
1342,10870,0.00
1343,10875,0.00
1344,10880,0.00
1345,10885,0.00
1346,10894,0.00
1347,10900,0.00
1348,10914,0.00
1349,10921,0.00
1350,10926,0.00
1351,10936,0.00
1352,10941,0.00
1353,10946,0.00
1354,10951,0.00
1355,10956,0.00
1356,10961,0.00
1357,10967,0.00
1358,10981,0.00
1359,10986,0.00
1360,10991,0.00
1361,10998,0.00
1362,11003,0.00
1363,11017,0.00
1364,11023,0.00
1365,11029,0.00
1366,11039,0.00
1367,11054,0.00
1368,11059,0.00
1369,11069,0.00
1370,11084,0.00
1371,11106,0.00
1372,11111,0.00
1373,11116,0.00
1374,11123,0.00
1375,11131,0.00
1376,11137,0.00
1377,11143,0.00
1378,11148,0.00
1379,11153,0.00
1380,11158,0.00
1381,11163,0.00
1382,11168,0.00
1383,11173,0.00
1384,11178,0.00
1385,11183,0.00
1386,11188,0.00
1387,11196,0.00
1388,11203,0.00
1389,11208,0.00
1390,11213,0.00
1391,11218,0.00
1392,11223,0.00
1393,11228,0.00
1394,11233,0.00
1395,11240,0.00
1396,11298,0.00
1397,11304,0.00
1398,11309,0.00
1399,11322,0.00
1400,11327,0.00
1401,11332,0.00
1402,11339,0.00
1403,11350,0.00
1404,11355,0.00
1405,11360,0.00
1406,11365,0.00
1407,11370,0.00
1408,11375,0.00
1409,11401,0.00
1410,11415,0.00
1411,11420,0.00
1412,11434,0.00
1413,11443,0.00
1414,11451,0.00
1415,11468,0.00
1416,11473,0.00
1417,11478,0.00
1418,11489,0.00
1419,11500,0.00
1420,11513,0.00
1421,11518,0.00
1422,11531,0.00
1423,11536,0.00
1424,11541,0.00
1425,11546,0.00
1426,11551,0.00
1427,11556,0.00
1428,11561,0.00
1429,11566,0.00
1430,11571,0.00
1431,11576,0.00
1432,11581,0.00
1433,11586,0.00
1434,11593,0.00
1435,11598,0.00
1436,11603,0.00
1437,11612,0.00
1438,11636,0.00
1439,11703,0.00
1440,11708,0.00
1441,11713,0.00
1442,11718,0.00
1443,11723,0.00
1444,11730,0.00
1445,11735,0.00
1446,11740,0.00
1447,11746,0.00
1448,11754,0.00
1449,11777,0.00
1450,11794,0.00
1451,11801,0.00
1452,11811,0.00
1453,11818,0.00
1454,11827,0.00
1455,11833,0.00
1456,11838,0.00
1457,11843,0.00
1458,11848,0.00
1459,11853,0.00
1460,11858,0.00
1461,11863,0.00
1462,11868,0.00
1463,11873,0.00
1464,11878,0.00
1465,11883,0.00
1466,11889,0.00
1467,11894,0.00
1468,11899,0.00
1469,11904,0.00
1470,11920,0.00
1471,11927,0.00
1472,11932,0.00
1473,11937,0.00
1474,11942,0.00
1475,11947,0.00
1476,11952,0.00
1477,11957,0.00
1478,11962,0.00
1479,11967,0.00
1480,11972,0.00
1481,11977,0.00
1482,11983,0.00
1483,11989,0.00
1484,11994,0.00
1485,12015,0.00
1486,12022,0.00
1487,12038,0.00
1488,12052,0.00
1489,12057,0.00
1490,12062,0.00
1491,12067,0.00
1492,12072,0.00
1493,12077,0.00
1494,12082,0.00
1495,12087,0.00
1496,12092,0.00
1497,12097,0.00
1498,12102,0.00
1499,12107,0.00
1500,12112,0.00
1501,12117,0.00
1502,12122,0.00
1503,12127,0.00
1504,12133,0.00
1505,12138,0.00
1506,12143,0.00
1507,12150,0.00
1508,12155,0.00
1509,12160,0.00
1510,12165,0.00
1511,12170,0.00
1512,12175,0.00
1513,12180,0.00
